NU_INSCRICAO;NU_ANO;NO_MUNICIPIO_RESIDENCIA;UF_RESIDENCIA;IDADE;TP_SEXO;ST_CONCLUSAO;ANO_CONCLUIU;TP_ESCOLA;IN_TP_ENSINO;TP_COR_RACA;NOTA_CN;NOTA_CH;NOTA_LC;NOTA_MT;NU_NOTA_REDACAO;Q003
140000000742;2014;CONTAGEM;MG;23;M;1;2009;1;1;3;606.8;613.1;503.7;754.9;720;N
140000000743;2014;MACEIO;AL;19;M;1;2013;1;1;3;406.1;576.2;381.9;471.8;380;B
140000000744;2014;MATAO;SP;20;M;1;2012;1;1;1;565.1;605.6;403.2;692.3;480;G
140000000745;2014;FRANCISCO MORATO;SP;33;M;4;;;;2;;;;;0;C
140000000746;2014;JOAO PESSOA;PB;29;M;1;2007;1;1;2;448.2;476;389.8;424.9;240;B
140000000747;2014;RIBEIRAO PRETO;SP;17;F;2;;1;1;1;438.7;623.9;567.4;498.8;560;H
140000000748;2014;PIRASSUNUNGA;SP;22;M;1;2010;1;1;1;507.1;599.1;570.5;574.8;420;B
140000000749;2014;BELO HORIZONTE;MG;19;F;1;2013;1;1;3;;;;;0;L
140000000750;2014;JOAO PESSOA;PB;32;F;1;2004;1;1;4;446.6;573.9;429.4;449.8;420;C
140000000751;2014;ARACAJU;SE;18;F;1;2013;1;1;3;540.4;641;601.8;395.8;600;C
140000000752;2014;OSASCO;SP;22;M;4;;;;3;530;579.8;503.6;631.6;320;J
140000000753;2014;MACEIO;AL;17;F;3;;;;1;559.1;562.1;578.8;459.1;560;B
140000000754;2014;BELEM;PA;41;M;1;2004;1;1;3;524;638;598.3;438.9;560;B
140000000755;2014;FORTALEZA;CE;34;F;1;2004;1;1;1;447.8;514.3;544.8;405.6;640;B
140000000756;2014;SAO LUIS;MA;31;F;1;2004;1;1;2;;;;;0;C
140000000757;2014;ANANINDEUA;PA;43;F;1;2012;1;2;1;466.4;590.9;500.9;431.3;320;C
140000000758;2014;MANAUS;AM;38;F;1;2004;1;1;3;;;;;0;B
140000000759;2014;JEQUIE;BA;19;F;1;2013;1;1;3;483.2;584.5;414.7;346.1;0;B
140000000760;2014;PORTO ALEGRE;RS;21;F;1;2010;1;1;1;562.9;568.3;507.6;437.9;380;D
140000000761;2014;SALVADOR;BA;23;M;1;2010;1;1;3;452.2;643.4;613.4;601.1;640;E
140000000762;2014;RIO BRANCO;AC;27;F;1;2005;1;1;3;389.9;560.6;499.1;404.2;540;C
140000000763;2014;NATAL;RN;23;M;1;2007;1;1;3;;;;;0;E
