NU_INSCRICAO,NU_ANO,COD_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,COD_UF_RESIDENCIA,UF_RESIDENCIA,IN_ESTUDA_CLASSE_HOSPITALAR,COD_ESCOLA,COD_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,COD_UF_ESC,UF_ESC,ID_DEPENDENCIA_ADM_ESC,ID_LOCALIZACAO_ESC,SIT_FUNC_ESC,IDADE,TP_SEXO,NACIONALIDADE,COD_MUNICIPIO_NASCIMENTO,NO_MUNICIPIO_NASCIMENTO,COD_UF_NASCIMENTO,UF_NASCIMENTO,ST_CONCLUSAO,ANO_CONCLUIU,TP_ESCOLA,IN_TP_ENSINO,TP_ESTADO_CIVIL,TP_COR_RACA,IN_BAIXA_VISAO,IN_CEGUEIRA,IN_SURDEZ,IN_DEFICIENCIA_AUDITIVA,IN_SURDO_CEGUEIRA,IN_DEFICIENCIA_FISICA,IN_DEFICIENCIA_MENTAL,IN_DEFICIT_ATENCAO,IN_DISLEXIA,IN_GESTANTE,IN_LACTANTE,IN_IDOSO,IN_AUTISMO,IN_SABATISTA,IN_BRAILLE,IN_AMPLIADA_24,IN_AMPLIADA_18,IN_LEDOR,IN_ACESSO,IN_TRANSCRICAO,IN_LIBRAS,IN_LEITURA_LABIAL,IN_MESA_CADEIRA_RODAS,IN_MESA_CADEIRA_SEPARADA,IN_APOIO_PERNA,IN_GUIA_INTERPRETE,IN_CERTIFICADO,NO_ENTIDADE_CERTIFICACAO,COD_UF_ENTIDADE_CERTIFICACAO,UF_ENTIDADE_CERTIFICACAO,COD_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,COD_UF_PROVA,UF_PROVA,IN_PRESENCA_CN,IN_PRESENCA_CH,IN_PRESENCA_LC,IN_PRESENCA_MT,ID_PROVA_CN,ID_PROVA_CH,ID_PROVA_LC,ID_PROVA_MT,NOTA_CN,NOTA_CH,NOTA_LC,NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,GABARITO_CN,GABARITO_CH,GABARITO_LC,GABARITO_MT,IN_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025,Q026,Q027,Q028,Q029,Q030,Q031,Q032,Q033,Q034,Q035,Q036,Q037,Q038,Q039,Q040,Q041,Q042,Q043,Q044,Q045,Q046,Q047,Q048,Q049,Q050,Q051,Q052,Q053,Q054,Q055,Q056,Q057,Q058,Q059,Q060,Q061,Q062,Q063,Q064,Q065,Q066,Q067,Q068,Q069,Q070,Q071,Q072,Q073,Q074,Q075,Q076
140000000825,2014,2927408,SALVADOR,29,BA,0,,,,,,,,,21,M,1,2927408,SALVADOR,29,BA,1,2012,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2927408,SALVADOR,29,BA,0,0,0,0,199,195,203,207,,,,,.............................................,.............................................,.............................................,.............................................,1,,,,,6,0,0,0,0,0,0,A,B,C,3,A,B,B,A,D,A,D,D,A,D,A,C,A,D,D,D,A,A,5,4,,5,5,5,5,C,A,A,B,A,A,A,A,A,A,19,E,5,2,4,5,5,B,B,B,B,A,B,A,,,,,,,,,,,,,,,,,,,,,,,
140000000826,2014,2111300,SAO LUIS,21,MA,0,,,,,,,,,29,F,1,2102101,BREJO,21,MA,1,2004,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2111300,SAO LUIS,21,MA,1,1,1,1,201,197,205,209,532.2,594.7,422.4,410,DDCAEADBECABBCCADABCACACBEEDBCBDCDBBBCACDEACC,ADECEBBCCBEAACBADCBBBACBEABCADEADCABABBBAAACB,ABCCCEEBCEBACDCDEDADDEECCACDCAAEBCCCBBDEABBCC,CBBCBBCCCCCAEDBAEDDDCCCAABBCCCABDCCBBAABDDBCD,0,EDEADBCBDADBDCDCDABABEADECBEBCBDCBEABCDAEEDDA,ADECECBCCECAABBEBCABDBAECCEDEBDADCEDADBABAADE,ACACDDAAECBEBCDADDDCBBCBEDBCABDEBDCDACAEBECCBCCDAB,ECBDCDADEAEADBEDBBDAEAECCBCBBCCEDDDCCECAABABD,7,120,120,140,100,60,540,C,C,F,11,C,B,B,A,D,D,D,A,A,D,A,A,D,A,D,D,B,A,4,5,,5,4,5,5,B,A,A,B,A,A,A,A,B,A,18,E,5,3,5,5,5,A,A,A,B,A,B,B,,,,,,,,,,,,,,,,,,,,,,,
140000000827,2014,1501402,BELEM,15,PA,0,,,,,,,,,36,M,1,1501402,BELEM,15,PA,1,2004,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1501402,BELEM,15,PA,0,0,0,0,199,195,203,207,,,,,.............................................,.............................................,.............................................,.............................................,1,,,,,6,0,0,0,0,0,0,I,E,B,3,E,B,B,A,A,D,D,A,A,D,D,B,D,D,D,D,A,A,2,4,,5,5,5,5,A,A,A,B,A,A,A,A,A,A,18,A,5,5,0,0,5,B,B,B,B,A,A,A,,,,,,,,,,,,,,,,,,,,,,,
140000000828,2014,2910800,FEIRA DE SANTANA,29,BA,0,,,,,,,,,20,M,1,2917607,JAGUAQUARA,29,BA,4,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,INSTITUTO FEDERAL DA BAHIA - CAMPUS FEIRA DE SANTANA,29,BA,2910800,FEIRA DE SANTANA,29,BA,1,1,1,1,200,196,206,210,424,500.1,498.8,444.5,EADABEBECECCDCBBEECAEDCBCECDEACBAEAECDADCECAE,CEEEADBAACAEDBBDCABACBBBCDDDCECEAECDDCCBBADEC,CDBDEEBCCCBDBCBDDEEBDAAABACDEBCBBDBCCCACEEBDC,ABDBEDDCEBBBAEEBCBBAEEDABDCEACCCBCECCCEECABBC,0,DAEDCDCAEABDBCBDEADCDBEBCBDCBEECABDABADBDEDEA,AADEAABBEADBABBDADBCCEECCEDECBCABDBACCEDEADEC,CDACAECAADBDCDCBCACAEBEDBCCDABDCBEBCECABDEBDADDBCB,DCDADDCCECADEAEADBEDBBDACEDCBCBBCEAECABABDECB,7,120,80,120,120,40,480,E,E,C,3,A,B,B,A,D,A,A,D,A,D,A,C,A,D,D,D,B,A,3,3,,5,3,5,5,A,A,A,F,B,A,A,A,A,A,18,D,2,3,2,5,5,B,B,B,B,A,B,A,B,,,,,,,,,,B,,,,,,,,,,,,
140000000829,2014,1302603,MANAUS,13,AM,0,,,,,,,,,36,M,1,4310603,ITAQUI,43,RS,1,2004,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1302603,MANAUS,13,AM,1,1,1,1,200,196,204,208,594.8,600.3,530.5,605.5,AAECAECCCEBEBCEDEAECCEEEEBCCEABEADDACDAEDDDEA,AADADABAEEAABECAEBACCEECCAEEBDCABCBCCEEDBADEC,ECEEEBEADDEBCBDEDEBCBEAECDAEEACAEACBDCDDCBBAC,CECEDCEACABBEBBADCCABEDEACEBBDECEDABBEECDDCAC,1,DAEDCDCAEABDBCBDEADCDBEBCBDCBEECABDABADBDEDEA,AADEAABBEADBABBDADBCCEECCEDECBCABDBACCEDEADEC,ACACDDECAABDADDDCDCDABEBCBCBECACAEBDEBABEDBCDCBCBC,CECACBCABABDBDADCDAEAECBBCAEADBEDBECBDECEDDDC,7,120,120,100,80,80,500,C,C,D,3,A,B,B,A,D,A,A,A,A,D,D,C,A,A,D,D,B,B,5,5,,3,3,3,3,D,A,A,C,A,A,A,A,B,B,16,E,0,5,5,5,0,B,B,A,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,
140000000830,2014,3545209,SALTO,35,SP,0,,,,,,,,,22,M,1,3545209,SALTO,35,SP,1,2009,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3545209,SALTO,35,SP,0,0,0,0,199,195,203,207,,,,,.............................................,.............................................,.............................................,.............................................,0,,,,,6,0,0,0,0,0,0,B,D,F,3,C,B,A,A,B,A,A,A,A,D,D,C,A,D,A,D,A,A,4,4,,5,3,5,2,B,A,A,B,A,A,A,B,B,A,16,E,5,0,5,5,3,B,B,B,B,A,B,A,,,,,,,,,,,,,,,,,,,,,,,
140000000831,2014,2927408,SALVADOR,29,BA,0,,,,,,,,,29,M,1,2927408,SALVADOR,29,BA,1,2005,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2927408,SALVADOR,29,BA,1,1,1,1,201,197,204,208,504.5,551.1,489.5,374.7,ADBDDBBAEDBEDDBCECBEEDADAECEBDABDCEDBDAADCBAD,BEBDEBBCCEAAEBBAECADCACECBEAEE*BBABDECBEBAEEB,A*BAABDCDCAEDCDDADBCCEBCCDCADEEEBAAEECDDEACEB,BBEE*CBCDDBBADBAACDABEEECC.CBAABDC.AEBACABEDB,0,EDEADBCBDADBDCDCDABABEADECBEBCBDCBEABCDAEEDDA,ADECECBCCECAABBEBCABDBAECCEDEBDADCEDADBABAADE,ACACDDECAABDADDDCDCDABEBCBCBECACAEBDEBABEDBCDCBCBC,CECACBCABABDBDADCDAEAECBBCAEADBEDBECBDECEDDDC,7,80,60,80,80,20,320,D,B,C,6,C,B,A,A,A,D,D,A,A,D,A,C,A,D,D,A,A,B,4,5,,5,5,5,5,A,B,A,E,A,A,A,A,A,A,22,E,5,5,5,5,5,A,B,B,B,A,B,B,,,,,,,,,,,,,,,,,,,,,,,
140000000832,2014,3548708,SAO BERNARDO DO CAMPO,35,SP,0,,,,,,,,,19,M,1,3548807,SAO CAETANO DO SUL,35,SP,1,2012,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3548708,SAO BERNARDO DO CAMPO,35,SP,0,0,0,0,199,195,203,207,,,,,.............................................,.............................................,.............................................,.............................................,0,,,,,6,0,0,0,0,0,0,E,D,H,3,A,B,C,C,A,A,B,A,A,D,B,C,B,B,A,D,C,A,5,5,,5,5,5,5,B,A,D,B,A,A,A,A,B,A,16,D,5,0,5,5,5,A,B,B,A,B,B,B,,,,,,,,,,,,,,,,,,,,,,,
140000000833,2014,4314902,PORTO ALEGRE,43,RS,0,,,,,,,,,30,F,1,4314902,PORTO ALEGRE,43,RS,1,2004,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,4314902,PORTO ALEGRE,43,RS,0,0,0,0,199,195,203,207,,,,,.............................................,.............................................,.............................................,.............................................,0,,,,,6,0,0,0,0,0,0,B,B,H,3,A,B,A,A,A,A,A,A,A,D,D,B,D,A,A,D,A,A,3,3,,5,5,5,5,C,A,B,B,A,A,A,A,A,A,17,D,3,5,5,5,5,A,B,A,B,B,B,B,,,,,,,,,,,,,,,,,,,,,,,
140000000834,2014,3304524,RIO DAS OSTRAS,33,RJ,0,,,,,,,,,18,F,1,3301306,CASIMIRO DE ABREU,33,RJ,3,,,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3304524,RIO DAS OSTRAS,33,RJ,1,1,1,1,202,198,203,207,533.7,610.4,568.2,645.7,BEADBBECECBCEEADECBEDEAADDDBBCABABBDBBDDBDADD,AABBCAACAADBCDCEEBDAEAEABECAAACECAECACDAAACCE,CABBABC.CDCDDCCEBCABACAEDABEEDCCABBCBEADBEAAB,CDCDBEBCBCBBBDBCDCDCBCBDBBDACBBECCCDAADBDCDCA,0,AEABEDEABEBCBEECCBDEDEADADBDCDCDABCDDAABDBCBD,AABBEAADEADBABCEDBDADDEECECCEADECBDBACBCABCCE,CDACAAADECBCBCDCBEBCECDEBACAEBDCDEDBCABBCBCDABDADD,DDCDEECBBEDBBDABBCCBCCEDEAECAEADDCDAABABDCECA,7,120,40,40,100,60,360,B,E,D,4,D,A,A,A,A,A,D,D,D,D,A,C,A,A,D,A,A,C,5,5,,5,0,2,2,B,,,F,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
